scaffold_number	gene_id	intron_start	intron_end	orf_rep1_reads(u)	normalize value(Rep1)	orf_rep2_reads(u)	Normalize value(Rep2)	toc_rep1_reads(u)	Normalized value(Rep1)	toc_rep2_reads(u)	Normalized value(Rep2)	annotated	novel
DS571154	EHI_178770	83710	83761	82	119.1860465	26	45.80690627	144	201.8220042	126	144.2968392	Yes	No
DS571154	EHI_179040	132380	132426	16	23.25581395	4	7.04721635	13	18.22004205	12	13.74255612	Yes	No
DS571155	EHI_092140	22297	22371	512	744.1860465	332	584.918957	635	889.9789769	768	879.5235914	Yes	No
DS571155	EHI_092140	22799	22854	249	361.9186047	319	562.0155039	245	343.3777155	332	380.2107192	Yes	No
DS571155	EHI_092270	48241	48350	127	184.5930233	139	244.8907681	236	330.7638402	284	325.2404947	Yes	No
DS571155	EHI_092290	54800	54908	92	133.7209302	159	280.1268499	25	35.0385424	35	40.08245534	Yes	No
DS571155	NA	96980	97033	13	18.89534884	13	22.90345314	11	15.41695865	10	11.4521301	No	Yes
DS571155	EHI_092460	107500	107552	29	42.15116279	54	95.13742072	47	65.87245971	41	46.95373339	Yes	No
DS571155	EHI_092480	109032	109094	18	26.1627907	14	24.66525722	18	25.22775053	26	29.77553825	Yes	No
DS571155	EHI_092480	109152	109278	16	23.25581395	12	21.14164905	19	26.62929222	28	32.06596427	Yes	No
DS571155	EHI_092480	109503	109578	6	8.720930233	4	7.04721635	18	25.22775053	8	9.161704077	Yes	No
DS571155	EHI_092480	109837	109888	8	11.62790698	9	15.85623679	9	12.61387526	16	18.32340815	Yes	No
DS571155	EHI_092510	116120	116167	200	290.6976744	89	156.8005638	169	236.8605466	195	223.3165369	Yes	No
DS571155	EHI_092570	127533	127589	38	55.23255814	49	86.32840028	58	81.28941836	55	62.98671553	Yes	No
DS571155	EHI_092570	127682	127738	47	68.31395349	27	47.56871036	59	82.69096006	33	37.79202932	Yes	No
DS571155	NA	127931	127975	121	175.872093	151	266.0324172	75	105.1156272	115	131.6994961	No	Yes
DS571155	NA	128620	128668	6	8.720930233	19	33.47427766	9	12.61387526	11	12.59734311	No	Yes
DS571155	EHI_092590	131842	131891	36	52.3255814	67	118.0408739	10	14.01541696	9	10.30691709	Yes	No
DS571155	EHI_092720	152407	152461	55	79.94186047	57	100.422833	86	120.5325858	83	95.0526798	Yes	No
DS571155	EHI_092730	153499	153621	83	120.6395349	77	135.6589147	236	330.7638402	257	294.3197435	Yes	No
DS571156	EHI_182500	10920	10980	24	34.88372093	19	33.47427766	26	36.44008409	29	33.21117728	Yes	No
DS571156	EHI_182500	11878	11933	21	30.52325581	5	8.809020437	27	37.84162579	21	24.0494732	Yes	No
DS571156	EHI_182530	14969	15019	68	98.8372093	57	100.422833	86	120.5325858	93	106.5048099	Yes	No
DS571156	EHI_182600	22436	22481	201	292.1511628	231	406.9767442	153	214.4358795	165	188.9601466	Yes	No
DS571156	EHI_182780	50528	50577	108	156.9767442	15	26.42706131	144	201.8220042	156	178.6532295	Yes	No
DS571156	EHI_182790	51017	51067	130	188.9534884	96	169.1331924	172	241.0651717	194	222.1713239	Yes	No
DS571156	EHI_182830	57366	57409	15	21.80232558	16	28.1888654	12	16.81850035	9	10.30691709	Yes	No
DS571156	EHI_182840	58715	58771	39	56.68604651	48	84.56659619	54	75.68325158	76	87.03618873	Yes	No
DS571156	EHI_182870	62489	62540	37	53.77906977	8	14.0944327	24	33.6370007	39	44.66330738	Yes	No
DS571156	EHI_182880	63068	63133	25	36.3372093	16	28.1888654	33	46.25087596	41	46.95373339	Yes	No
DS571156	EHI_183010	89786	89836	104	151.1627907	128	225.5109232	143	200.4204625	171	195.8314246	Yes	No
DS571156	EHI_183010	90642	90696	206	299.4186047	62	109.2318534	267	374.2116328	324	371.0490151	Yes	No
DS571156	EHI_183060	94678	94769	102	148.255814	68	119.8026779	125	175.192712	167	191.2505726	Yes	No
DS571156	EHI_183060	95138	95213	117	170.0581395	48	84.56659619	192	269.0960056	226	258.8181402	Yes	No
DS571156	NA	95897	96018	38	55.23255814	28	49.33051445	51	71.47862649	39	44.66330738	No	Yes
DS571156	EHI_183080	99665	99717	25	36.3372093	45	79.28118393	28	39.24316748	36	41.22766835	Yes	No
DS571156	EHI_183080	99819	99876	26	37.79069767	31	54.61592671	23	32.235459	38	43.51809437	Yes	No
DS571156	EHI_183100	101909	101967	73	106.1046512	89	156.8005638	56	78.48633497	84	96.19789281	Yes	No
DS571156	NA	123622	123670	20	29.06976744	26	45.80690627	24	33.6370007	37	42.37288136	No	Yes
DS571156	EHI_183290	148162	148208	6	8.720930233	8	14.0944327	28	39.24316748	26	29.77553825	Yes	No
DS571157	EHI_196960	24926	24988	100	145.3488372	107	188.5130374	30	42.04625088	29	33.21117728	Yes	No
DS571157	EHI_197040	42546	42603	114	165.6976744	108	190.2748414	54	75.68325158	52	59.5510765	Yes	No
DS571157	EHI_197090	53779	53835	25	36.3372093	19	33.47427766	50	70.07708479	42	48.0989464	Yes	No
DS571157	EHI_197170	71186	71260	30	43.60465116	50	88.09020437	73	102.3125438	74	84.74576271	Yes	No
DS571157	EHI_197220	81153	81206	38	55.23255814	46	81.04298802	12	16.81850035	8	9.161704077	Yes	No
DS571157	EHI_197230	82160	82215	21	30.52325581	40	70.4721635	19	26.62929222	11	12.59734311	Yes	No
DS571157	NA	86976	87067	292	424.4186047	374	658.9147287	399	559.2151367	608	696.2895098	No	Yes
DS571157	EHI_197360	117078	117127	66	95.93023256	75	132.1353066	45	63.06937631	57	65.27714155	Yes	No
DS571157	EHI_197360	117314	117360	28	40.69767442	41	72.23396758	48	67.2740014	51	58.40586349	Yes	No
DS571157	EHI_197360	117436	117492	37	53.77906977	31	54.61592671	47	65.87245971	61	69.85799359	Yes	No
DS571157	EHI_197440	131017	131152	215	312.5	14	24.66525722	131	183.6019622	121	138.5707742	Yes	No
DS571157	NA	132107	132173	19	27.61627907	7	12.33262861	6	8.409250175	7	8.016491067	No	Yes
DS571158	NA	34538	34590	65	94.47674419	48	84.56659619	42	58.86475123	42	48.0989464	No	Yes
DS571158	EHI_103370	34752	34795	136	197.6744186	118	207.8928823	76	106.5171689	158	180.9436555	Yes	No
DS571158	EHI_103400	38714	38759	40	58.13953488	30	52.85412262	41	57.46320953	52	59.5510765	Yes	No
DS571158	EHI_103610	81915	82047	50	72.6744186	13	22.90345314	48	67.2740014	63	72.14841961	Yes	No
DS571158	EHI_103670	93220	93277	22	31.97674419	38	66.94855532	20	28.03083392	22	25.19468621	Yes	No
DS571158	EHI_103680	94744	94787	82	119.1860465	36	63.42494715	114	159.7757533	151	172.9271645	Yes	No
DS571158	EHI_103720	103582	103650	70	101.744186	19	33.47427766	59	82.69096006	54	61.84150252	Yes	No
DS571158	EHI_103720	103902	104068	165	239.8255814	49	86.32840028	182	255.0805886	210	240.494732	Yes	No
DS571158	EHI_103810	124599	124678	355	515.9883721	129	227.2727273	474	664.3307638	485	555.4283097	Yes	No
DS571158	NA	140425	140471	63	91.56976744	44	77.51937984	56	78.48633497	61	69.85799359	No	Yes
DS571158	EHI_103880	141298	141344	38	55.23255814	57	100.422833	49	68.6755431	46	52.67979844	Yes	No
DS571159	EHI_186340	12428	12504	360	523.255814	357	628.9640592	266	372.8100911	398	455.7947778	Yes	No
DS571159	EHI_186730	28142	28213	67	97.38372093	84	147.9915433	88	123.3356692	75	85.89097572	Yes	No
DS571159	EHI_186730	28424	28467	129	187.5	120	211.4164905	154	215.8374212	153	175.2175905	Yes	No
DS571159	EHI_186730	28623	28756	122	177.3255814	84	147.9915433	156	218.6405046	154	176.3628035	Yes	No
DS571159	EHI_186740	29716	29786	57	82.84883721	51	89.85200846	84	117.7295025	82	93.90746679	Yes	No
DS571159	EHI_186750	31767	31854	65	94.47674419	87	153.2769556	66	92.50175193	66	75.58405863	Yes	No
DS571159	NA	46228	46273	7	10.1744186	6	10.57082452	33	46.25087596	59	67.56756757	No	Yes
DS571159	NA	58754	58808	5	7.26744186	15	26.42706131	8	11.21233357	11	12.59734311	No	Yes
DS571159	NA	65866	65912	39	56.68604651	60	105.7082452	77	107.9187106	91	104.2143839	No	Yes
DS571159	EHI_186950	70183	70228	249	361.9186047	193	340.0281889	290	406.4470918	389	445.4878607	Yes	No
DS571159	EHI_186980	72502	72550	89	129.3604651	168	295.9830867	90	126.1387526	118	135.1351351	Yes	No
DS571159	EHI_186990	73264	73310	61	88.6627907	4	7.04721635	81	113.5248774	98	112.2308749	Yes	No
DS571159	EHI_187100	100451	100503	19	27.61627907	28	49.33051445	75	105.1156272	71	81.31012368	Yes	No
DS571159	EHI_187180	117321	117378	138	200.5813953	61	107.4700493	72	100.9110021	97	111.0856619	Yes	No
DS571159	EHI_187180	118181	118297	196	284.8837209	267	470.4016913	123	172.3896286	138	158.0393953	Yes	No
DS571159	EHI_187260	129345	129395	28	40.69767442	20	35.23608175	39	54.66012614	41	46.95373339	Yes	No
DS571159	EHI_187270	129707	129756	54	78.48837209	77	135.6589147	135	189.2081289	118	135.1351351	Yes	No
DS571160	NA	18225	18281	35	50.87209302	26	45.80690627	8	11.21233357	11	12.59734311	No	Yes
DS571160	EHI_125670	23240	23298	11	15.98837209	4	7.04721635	11	15.41695865	9	10.30691709	Yes	No
DS571160	EHI_125690	26852	26950	59	85.75581395	47	82.80479211	133	186.4050456	148	169.4915254	Yes	No
DS571160	EHI_125690	27254	27306	35	50.87209302	23	40.52149401	66	92.50175193	57	65.27714155	Yes	No
DS571160	EHI_125690	27663	27754	66	95.93023256	88	155.0387597	95	133.1464611	93	106.5048099	Yes	No
DS571160	EHI_125730	33159	33206	39	56.68604651	15	26.42706131	38	53.25858444	35	40.08245534	Yes	No
DS571160	EHI_125800	42813	42859	93	135.1744186	12	21.14164905	61	85.49404345	65	74.43884563	Yes	No
DS571160	EHI_125810	45667	45709	12	17.44186047	12	21.14164905	9	12.61387526	8	9.161704077	Yes	No
DS571160	EHI_125820	46515	46566	64	93.02325581	64	112.7554616	79	110.721794	73	83.6005497	Yes	No
DS571160	EHI_125820	47029	47077	37	53.77906977	23	40.52149401	37	51.85704275	36	41.22766835	Yes	No
DS571160	NA	49362	49419	10	14.53488372	21	36.99788584	5	7.007708479	6	6.871278058	No	Yes
DS571160	EHI_125850	51334	51390	28	40.69767442	5	8.809020437	12	16.81850035	17	19.46862116	Yes	No
DS571160	EHI_125880	61041	61088	23	33.43023256	15	26.42706131	29	40.64470918	28	32.06596427	Yes	No
DS571160	EHI_125880	61149	61203	31	45.05813953	14	24.66525722	45	63.06937631	40	45.80852038	Yes	No
DS571160	EHI_125920	69454	69500	93	135.1744186	36	63.42494715	92	128.941836	113	129.4090701	Yes	No
DS571160	EHI_125930	70441	70487	10	14.53488372	5	8.809020437	7	9.810791871	7	8.016491067	Yes	No
DS571160	EHI_126000	82502	82562	10	14.53488372	11	19.37984496	19	26.62929222	25	28.63032524	Yes	No
DS571160	EHI_126010	83726	83786	49	71.22093023	44	77.51937984	43	60.26629292	54	61.84150252	Yes	No
DS571160	NA	88196	88269	95	138.0813953	18	31.71247357	91	127.5402943	86	98.48831883	No	Yes
DS571160	EHI_126130	107439	107484	18	26.1627907	20	35.23608175	49	68.6755431	55	62.98671553	Yes	No
DS571160	EHI_126160	110295	110354	25	36.3372093	33	58.13953488	10	14.01541696	18	20.61383417	Yes	No
DS571160	EHI_126230	125062	125108	14	20.34883721	4	7.04721635	33	46.25087596	24	27.48511223	Yes	No
DS571160	EHI_126270	132972	133031	1145	1664.244186	475	836.8569415	232	325.1576734	264	302.3362345	Yes	No
DS571160	EHI_126280	135356	135402	68	98.8372093	106	186.7512333	78	109.3202523	76	87.03618873	Yes	No
DS571160	EHI_126290	136562	136607	59	85.75581395	73	128.6116984	80	112.1233357	83	95.0526798	Yes	No
DS571160	EHI_126300	137658	137717	47	68.31395349	35	61.66314306	56	78.48633497	67	76.72927164	Yes	No
DS571161	EHI_141340	11132	11178	26	37.79069767	9	15.85623679	54	75.68325158	60	68.71278058	Yes	No
DS571161	EHI_141370	16816	16882	79	114.8255814	62	109.2318534	103	144.3587947	95	108.7952359	Yes	No
DS571161	EHI_141840	45346	45430	34	49.41860465	46	81.04298802	55	77.08479327	112	128.2638571	Yes	No
DS571161	EHI_141910	61868	61936	67	97.38372093	68	119.8026779	75	105.1156272	110	125.9734311	Yes	No
DS571161	EHI_141960	73399	73450	15	21.80232558	5	8.809020437	23	32.235459	18	20.61383417	Yes	No
DS571161	EHI_142090	91429	91540	370	537.7906977	274	482.7343199	323	452.6979678	429	491.2963811	Yes	No
DS571161	NA	92773	92964	33	47.96511628	12	21.14164905	30	42.04625088	38	43.51809437	No	Yes
DS571161	EHI_142140	100652	100708	21	30.52325581	28	49.33051445	15	21.02312544	17	19.46862116	Yes	No
DS571161	EHI_142140	100798	100863	29	42.15116279	45	79.28118393	22	30.83391731	18	20.61383417	Yes	No
DS571161	EHI_142170	108765	108826	38	55.23255814	68	119.8026779	61	85.49404345	57	65.27714155	Yes	No
DS571161	EHI_142200	113810	113871	80	116.2790698	59	103.9464412	47	65.87245971	67	76.72927164	Yes	No
DS571161	EHI_142210	114397	114508	2065	3001.453488	2266	3992.248062	1930	2704.975473	2216	2537.792029	Yes	No
DS571161	EHI_142220	118583	118723	49	71.22093023	7	12.33262861	54	75.68325158	73	83.6005497	Yes	No
DS571161	NA	118830	118897	35	50.87209302	7	12.33262861	49	68.6755431	67	76.72927164	No	Yes
DS571161	EHI_142260	123520	123572	42	61.04651163	23	40.52149401	104	145.7603364	121	138.5707742	Yes	No
DS571162	EHI_155160	5585	5639	15	21.80232558	6	10.57082452	13	18.22004205	7	8.016491067	Yes	No
DS571162	EHI_155240	25262	25313	47	68.31395349	33	58.13953488	108	151.3665032	85	97.34310582	Yes	No
DS571162	EHI_155250	26881	26926	226	328.4883721	189	332.9809725	218	305.5360897	260	297.7553825	Yes	No
DS571162	EHI_155250	27048	27097	380	552.3255814	315	554.9682875	359	503.1534688	435	498.1676592	Yes	No
DS571162	NA	29442	29495	172	250	165	290.6976744	181	253.679047	210	240.494732	No	Yes
DS571162	EHI_155280	30372	30423	18	26.1627907	17	29.95066949	16	22.42466713	18	20.61383417	Yes	No
DS571162	EHI_155330	36641	36692	64	93.02325581	67	118.0408739	83	116.3279608	88	100.7787448	Yes	No
DS571162	EHI_155330	36768	36821	96	139.5348837	82	144.4679352	106	148.5634198	144	164.9106734	Yes	No
DS571162	EHI_155330	36960	37030	68	98.8372093	44	77.51937984	74	103.7140855	99	113.376088	Yes	No
DS571162	EHI_155350	38150	38200	41	59.59302326	50	88.09020437	52	72.88016819	71	81.31012368	Yes	No
DS571162	EHI_155360	38668	38719	68	98.8372093	86	151.5151515	58	81.28941836	73	83.6005497	Yes	No
DS571162	EHI_155380	41925	41970	15	21.80232558	13	22.90345314	8	11.21233357	13	14.88776913	Yes	No
DS571162	EHI_155390	42252	42303	38	55.23255814	19	33.47427766	18	25.22775053	31	35.5016033	Yes	No
DS571162	EHI_155390	42416	42469	51	74.12790698	14	24.66525722	21	29.43237561	27	30.92075126	Yes	No
DS571162	NA	63489	63547	87	126.4534884	96	169.1331924	64	89.69866854	87	99.63353184	No	Yes
DS571162	EHI_155480	64849	64898	19	27.61627907	6	10.57082452	12	16.81850035	11	12.59734311	Yes	No
DS571162	EHI_155580	83650	83705	38	55.23255814	70	123.3262861	11	15.41695865	7	8.016491067	Yes	No
DS571162	EHI_155610	87222	87307	149	216.5697674	19	33.47427766	190	266.2929222	287	328.6761338	Yes	No
DS571162	EHI_155680	107250	107300	533	774.7093023	402	708.2452431	479	671.3384723	609	697.4347229	Yes	No
DS571162	EHI_155680	107408	107461	373	542.1511628	369	650.1057082	354	496.1457603	439	502.7485112	Yes	No
DS571162	EHI_155690	108637	108685	40	58.13953488	31	54.61592671	18	25.22775053	18	20.61383417	Yes	No
DS571162	EHI_155730	117752	117808	67	97.38372093	52	91.61381254	124	173.7911703	108	123.683005	Yes	No
DS571162	EHI_155740	119414	119470	35	50.87209302	16	28.1888654	59	82.69096006	45	51.53458543	Yes	No
DS571162	NA	120130	120207	33	47.96511628	19	33.47427766	26	36.44008409	20	22.90426019	No	Yes
DS571162	EHI_155770	126946	126994	79	114.8255814	55	96.89922481	75	105.1156272	68	77.87448465	Yes	No
DS571163	EHI_096180	7566	7644	23	33.43023256	11	19.37984496	18	25.22775053	31	35.5016033	Yes	No
DS571163	EHI_096210	11084	11140	188	273.255814	216	380.5496829	260	364.4008409	252	288.5936784	Yes	No
DS571163	EHI_096250	16815	16908	142	206.3953488	33	58.13953488	160	224.2466713	139	159.1846083	Yes	No
DS571163	EHI_096260	18498	18547	144	209.3023256	103	181.465821	88	123.3356692	80	91.61704077	Yes	No
DS571163	EHI_096330	30734	30783	9	13.08139535	5	8.809020437	8	11.21233357	9	10.30691709	Yes	No
DS571163	EHI_096380	42149	42194	202	293.6046512	76	133.8971106	145	203.2235459	222	254.2372881	Yes	No
DS571163	EHI_096500	59537	59589	32	46.51162791	26	45.80690627	16	22.42466713	17	19.46862116	Yes	No
DS571163	EHI_096540	65073	65139	37	53.77906977	57	100.422833	34	47.65241766	53	60.69628951	Yes	No
DS571163	EHI_096810	118937	119082	62	90.11627907	10	17.61804087	34	47.65241766	35	40.08245534	Yes	No
DS571164	EHI_069050	9065	9115	168	244.1860465	119	209.6546864	116	162.5788367	106	121.392579	Yes	No
DS571164	NA	28014	28075	71	103.1976744	9	15.85623679	43	60.26629292	44	50.38937242	No	Yes
DS571164	EHI_069360	69192	69252	57	82.84883721	74	130.3735025	35	49.05395936	27	30.92075126	Yes	No
DS571164	EHI_069370	69751	69798	253	367.7325581	305	537.3502467	188	263.4898388	307	351.580394	Yes	No
DS571164	EHI_069390	72515	72571	15	21.80232558	27	47.56871036	22	30.83391731	20	22.90426019	Yes	No
DS571164	EHI_069420	89057	89107	105	152.6162791	135	237.8435518	106	148.5634198	101	115.666514	Yes	No
DS571164	EHI_069420	89184	89255	123	178.7790698	146	257.2233968	140	196.2158374	135	154.6037563	Yes	No
DS571164	EHI_069500	104732	104845	103	149.7093023	64	112.7554616	148	207.428171	163	186.6697206	Yes	No
DS571164	NA	118804	118847	9	13.08139535	6	10.57082452	6	8.409250175	17	19.46862116	No	Yes
DS571164	EHI_069550	119258	119312	136	197.6744186	166	292.4594785	90	126.1387526	103	117.95694	Yes	No
DS571164	NA	120577	120647	21	30.52325581	12	21.14164905	33	46.25087596	50	57.26065048	No	Yes
DS571164	EHI_069620	125077	125132	77	111.9186047	16	28.1888654	65	91.10021023	68	77.87448465	Yes	No
DS571164	EHI_069630	127291	127348	42	61.04651163	34	59.90133897	163	228.4512964	133	152.3133303	Yes	No
DS571165	NA	979	1215	24	34.88372093	27	47.56871036	12	16.81850035	24	27.48511223	No	Yes
DS571165	EHI_198550	1169	1215	118	171.5116279	104	183.2276251	51	71.47862649	65	74.43884563	Yes	No
DS571165	EHI_198560	2388	2441	90	130.8139535	86	151.5151515	83	116.3279608	85	97.34310582	Yes	No
DS571165	EHI_198560	2852	2896	30	43.60465116	30	52.85412262	14	19.62158374	13	14.88776913	Yes	No
DS571165	EHI_198600	7966	8056	28	40.69767442	17	29.95066949	35	49.05395936	48	54.97022446	Yes	No
DS571165	EHI_198690	29553	29638	79	114.8255814	100	176.1804087	48	67.2740014	56	64.13192854	Yes	No
DS571165	EHI_198700	30025	30111	24	34.88372093	37	65.18675123	19	26.62929222	17	19.46862116	Yes	No
DS571165	NA	31218	31267	22	31.97674419	43	75.75757576	61	85.49404345	41	46.95373339	No	Yes
DS571165	EHI_198710	31399	31453	67	97.38372093	83	146.2297393	110	154.1695865	131	150.0229043	Yes	No
DS571165	EHI_198810	46562	46634	53	77.03488372	37	65.18675123	35	49.05395936	41	46.95373339	Yes	No
DS571165	NA	47314	47372	32	46.51162791	43	75.75757576	32	44.84933427	26	29.77553825	No	Yes
DS571165	EHI_198860	57365	57413	15	21.80232558	6	10.57082452	11	15.41695865	8	9.161704077	Yes	No
DS571165	EHI_198860	58019	58067	5	7.26744186	13	22.90345314	8	11.21233357	12	13.74255612	Yes	No
DS571165	NA	77620	77669	38	55.23255814	22	38.75968992	51	71.47862649	75	85.89097572	No	Yes
DS571165	NA	77760	77843	43	62.5	23	40.52149401	50	70.07708479	93	106.5048099	No	Yes
DS571165	NA	79711	79791	33	47.96511628	53	93.37561663	50	70.07708479	52	59.5510765	No	Yes
DS571165	EHI_198960	80253	80307	35	50.87209302	12	21.14164905	29	40.64470918	46	52.67979844	Yes	No
DS571165	EHI_199050	102871	102919	167	242.7325581	158	278.3650458	164	229.8528381	205	234.768667	Yes	No
DS571165	EHI_199050	103329	103393	114	165.6976744	56	98.66102889	163	228.4512964	177	202.7027027	Yes	No
DS571165	EHI_199065	104867	104923	14	20.34883721	6	10.57082452	38	53.25858444	38	43.51809437	Yes	No
DS571165	EHI_199080	107060	107112	135	196.2209302	100	176.1804087	120	168.1850035	129	147.7324782	Yes	No
DS571165	EHI_199090	108009	108056	10	14.53488372	4	7.04721635	11	15.41695865	22	25.19468621	Yes	No
DS571165	EHI_199120	112423	112511	552	802.3255814	147	258.9852008	460	644.7091801	531	608.1081081	Yes	No
DS571165	EHI_199120	113828	113886	320	465.1162791	540	951.3742072	150	210.2312544	205	234.768667	Yes	No
DS571165	EHI_199160	119373	119427	39	56.68604651	25	44.04510218	59	82.69096006	74	84.74576271	Yes	No
DS571166	EHI_126860	1621	1675	7	10.1744186	4	7.04721635	15	21.02312544	12	13.74255612	Yes	No
DS571166	EHI_126870	3366	3422	7464	10848.83721	8417	14829.105	5930	8311.142256	9984	11433.80669	Yes	No
DS571166	NA	19668	19711	79	114.8255814	74	130.3735025	100	140.1541696	126	144.2968392	No	Yes
DS571166	EHI_127040	32586	32640	64	93.02325581	58	102.1846371	31	43.44779257	27	30.92075126	Yes	No
DS571166	NA	39511	39561	20	29.06976744	35	61.66314306	15	21.02312544	17	19.46862116	No	Yes
DS571166	EHI_127120	44897	44947	47	68.31395349	71	125.0880902	51	71.47862649	33	37.79202932	Yes	No
DS571166	EHI_127180	52535	52607	48	69.76744186	40	70.4721635	101	141.5557113	113	129.4090701	Yes	No
DS571166	EHI_127230	68287	68328	10	14.53488372	13	22.90345314	17	23.82620883	18	20.61383417	Yes	No
DS571166	EHI_127260	71692	71739	85	123.5465116	50	88.09020437	197	276.1037141	229	262.2537792	Yes	No
DS571166	EHI_127260	71929	71984	86	125	59	103.9464412	165	231.2543798	211	241.639945	Yes	No
DS571166	EHI_127380	93062	93115	162	235.4651163	160	281.888654	301	421.8640505	422	483.2798901	Yes	No
DS571166	NA	100242	100428	71	103.1976744	33	58.13953488	140	196.2158374	137	156.8941823	No	Yes
DS571166	EHI_127420	103058	103110	18	26.1627907	9	15.85623679	25	35.0385424	26	29.77553825	Yes	No
DS571166	EHI_127420	104703	104769	37	53.77906977	40	70.4721635	30	42.04625088	27	30.92075126	Yes	No
DS571167	EHI_159510	39722	39774	36	52.3255814	10	17.61804087	25	35.0385424	21	24.0494732	Yes	No
DS571167	NA	41357	41414	33	47.96511628	26	45.80690627	35	49.05395936	31	35.5016033	No	Yes
DS571167	EHI_159540	41752	41803	10	14.53488372	10	17.61804087	23	32.235459	28	32.06596427	Yes	No
DS571167	NA	42536	42685	7	10.1744186	7	12.33262861	8	11.21233357	16	18.32340815	No	Yes
DS571167	EHI_159580	46656	46709	35	50.87209302	7	12.33262861	17	23.82620883	16	18.32340815	Yes	No
DS571167	EHI_159640	54966	55027	41	59.59302326	36	63.42494715	153	214.4358795	152	174.0723775	Yes	No
DS571167	EHI_159660	56457	56503	133	193.3139535	149	262.508809	120	168.1850035	137	156.8941823	Yes	No
DS571167	EHI_159690	60658	60713	122	177.3255814	151	266.0324172	142	199.0189208	170	194.6862116	Yes	No
DS571167	EHI_159700	61422	61474	7	10.1744186	14	24.66525722	29	40.64470918	30	34.35639029	Yes	No
DS571167	EHI_159740	70795	70837	36	52.3255814	36	63.42494715	86	120.5325858	105	120.247366	Yes	No
DS571167	EHI_159820	92706	92759	68	98.8372093	36	63.42494715	79	110.721794	66	75.58405863	Yes	No
DS571167	EHI_159830	93221	93278	32	46.51162791	44	77.51937984	41	57.46320953	69	79.01969766	Yes	No
DS571167	EHI_159830	93534	93589	15	21.80232558	25	44.04510218	23	32.235459	18	20.61383417	Yes	No
DS571167	EHI_159880	107016	107069	89	129.3604651	115	202.60747	55	77.08479327	53	60.69628951	Yes	No
DS571168	NA	21918	21964	41	59.59302326	55	96.89922481	27	37.84162579	24	27.48511223	No	Yes
DS571168	NA	47173	47277	156	226.744186	42	73.99577167	108	151.3665032	167	191.2505726	No	Yes
DS571168	NA	47329	47376	166	241.2790698	45	79.28118393	111	155.5711282	162	185.5245076	No	Yes
DS571168	NA	92585	92888	14	20.34883721	33	58.13953488	15	21.02312544	27	30.92075126	No	Yes
DS571168	EHI_013220	92600	92833	782	1136.627907	921	1622.621564	844	1182.901191	969	1109.711406	Yes	No
DS571168	EHI_013230	93881	93936	55	79.94186047	9	15.85623679	74	103.7140855	51	58.40586349	Yes	No
DS571168	EHI_013250	101750	101800	48	69.76744186	32	56.3777308	40	56.06166783	72	82.45533669	Yes	No
DS571169	EHI_098220	13831	13884	76	110.4651163	84	147.9915433	77	107.9187106	75	85.89097572	Yes	No
DS571169	EHI_098240	17194	17327	10	14.53488372	4	7.04721635	14	19.62158374	8	9.161704077	Yes	No
DS571169	EHI_098360	50283	50327	192	279.0697674	195	343.551797	78	109.3202523	96	109.9404489	Yes	No
DS571169	EHI_098410	64403	64446	28	40.69767442	7	12.33262861	18	25.22775053	11	12.59734311	Yes	No
DS571169	NA	72521	72583	165	239.8255814	87	153.2769556	78	109.3202523	94	107.6500229	No	Yes
DS571169	EHI_098450	77054	77114	49	71.22093023	13	22.90345314	53	74.28170988	77	88.18140174	Yes	No
DS571169	EHI_098450	77200	77254	45	65.40697674	10	17.61804087	70	98.10791871	99	113.376088	Yes	No
DS571169	EHI_098450	77347	77392	50	72.6744186	6	10.57082452	64	89.69866854	84	96.19789281	Yes	No
DS571169	EHI_098490	83558	83614	121	175.872093	154	271.3178295	136	190.6096706	201	230.1878149	Yes	No
DS571170	NA	22091	22144	14	20.34883721	19	33.47427766	19	26.62929222	13	14.88776913	No	Yes
DS571170	EHI_130950	44410	44456	44	63.95348837	20	35.23608175	50	70.07708479	62	71.0032066	Yes	No
DS571170	EHI_130950	44676	44727	47	68.31395349	31	54.61592671	55	77.08479327	64	73.29363262	Yes	No
DS571170	EHI_130970	46808	46857	28	40.69767442	20	35.23608175	32	44.84933427	24	27.48511223	Yes	No
DS571170	EHI_131000	56851	56908	261	379.3604651	369	650.1057082	209	292.9222144	241	275.9963353	Yes	No
DS571170	EHI_131050	67613	67736	167	242.7325581	116	204.3692741	76	106.5171689	114	130.5542831	Yes	No
DS571170	EHI_131070	71006	71064	63	91.56976744	4	7.04721635	42	58.86475123	21	24.0494732	Yes	No
DS571170	NA	80013	80074	8	11.62790698	13	22.90345314	10	14.01541696	8	9.161704077	No	Yes
DS571170	EHI_131120	80289	80334	20	29.06976744	14	24.66525722	17	23.82620883	25	28.63032524	Yes	No
DS571170	EHI_131120	80504	80553	17	24.70930233	15	26.42706131	11	15.41695865	12	13.74255612	Yes	No
DS571170	EHI_131150	85524	85567	209	303.7790698	162	285.4122622	163	228.4512964	215	246.2207971	Yes	No
DS571170	EHI_131150	85865	85919	44	63.95348837	70	123.3262861	47	65.87245971	48	54.97022446	Yes	No
DS571170	EHI_131160	87059	87115	23	33.43023256	30	52.85412262	27	37.84162579	24	27.48511223	Yes	No
DS571170	NA	88412	88457	35	50.87209302	36	63.42494715	29	40.64470918	52	59.5510765	No	Yes
