scaffold_number	gene_id	rna_id	rna_type	rna_start	rna_end	intron_start	intron_end	+/-
DS571161	EHI_141440	EHI_141440A	mRNA	27443	27804	27637	27689	-
DS571191	EHI_194490	EHI_194490A	mRNA	53189	54414	54319	54395	-
DS571177	EHI_167040	EHI_167040A	mRNA	66403	67250	67004	67056	+
DS571145	EHI_152630	EHI_152630A	mRNA	297868	299572	298372	298419	+
DS571145	EHI_152630	EHI_152630A	mRNA	297868	299572	299313	299367	+
DS571197	EHI_006760	EHI_006760A	mRNA	25319	26042	25569	25626	+
DS571163	EHI_096490	EHI_096490A	mRNA	58020	59002	58164	58216	+
DS571171	EHI_073560	EHI_073560A	mRNA	52915	55402	53187	53229	+
DS571513	EHI_154590	EHI_154590A	mRNA	9403	9924	9695	9757	+
DS571150	EHI_068530	EHI_068530A	mRNA	138695	141480	139406	139584	-
DS571167	EHI_159880	EHI_159880A	mRNA	105007	107091	107016	107069	-
DS571159	EHI_187270	EHI_187270A	mRNA	129633	130018	129707	129756	-
DS571156	EHI_183100	EHI_183100A	mRNA	101729	102933	101909	101967	+
DS571145	EHI_152430	EHI_152430A	mRNA	264769	265700	265439	265491	-
DS571145	EHI_151710	EHI_151710A	mRNA	127021	128749	128135	128186	-
DS571145	EHI_151710	EHI_151710A	mRNA	127021	128749	128410	128457	-
DS571199	EHI_008820	EHI_008820A	mRNA	73986	74553	74141	74189	+
DS571226	EHI_079730	EHI_079730A	mRNA	7449	12668	7470	7761	-
DS571226	EHI_079730	EHI_079730A	mRNA	7449	12668	12604	12653	-
DS571190	EHI_038540	EHI_038540A	mRNA	2110	2768	2421	2470	+
DS571161	EHI_142170	EHI_142170A	mRNA	107033	109101	108765	108826	+
DS571620	EHI_201420	EHI_201420A	mRNA	6451	7565	7394	7467	+
DS571145	EHI_152810	EHI_152810A	mRNA	328491	329076	328788	328842	+
DS571197	EHI_006940	EHI_006940A	mRNA	52270	53522	53338	53483	-
DS571157	EHI_197420	EHI_197420A	mRNA	127559	128789	127611	127683	-
DS571145	EHI_151410	EHI_151410A	mRNA	53938	54250	54071	54119	+
DS571145	EHI_152230	EHI_152230A	mRNA	231265	231625	231517	231589	-
DS572273	EHI_105970	EHI_105970A	mRNA	25	439	34	55	-
DS571217	EHI_165170	EHI_165170A	mRNA	18503	19361	19081	19141	-
DS571191	EHI_194280	EHI_194280A	mRNA	22442	23133	22635	22692	+
DS571191	EHI_194280	EHI_194280A	mRNA	22442	23133	22794	22842	+
DS571190	EHI_039080	EHI_039080A	mRNA	80967	82567	81318	81371	+
DS571190	EHI_039080	EHI_039080A	mRNA	80967	82567	81468	81524	+
DS571190	EHI_039080	EHI_039080A	mRNA	80967	82567	81592	81773	+
DS571376	EHI_143780	EHI_143780A	mRNA	809	2136	1955	2007	-
DS571169	EHI_098450	EHI_098450A	mRNA	76912	80183	77054	77114	+
DS571169	EHI_098450	EHI_098450A	mRNA	76912	80183	77200	77254	+
DS571169	EHI_098450	EHI_098450A	mRNA	76912	80183	77347	77392	+
DS571169	EHI_098450	EHI_098450A	mRNA	76912	80183	77541	77567	+
DS571169	EHI_098450	EHI_098450A	mRNA	76912	80183	79390	79481	+
DS571170	EHI_130970	EHI_130970A	mRNA	46488	48272	46808	46857	-
DS571170	EHI_130970	EHI_130970A	mRNA	46488	48272	48113	48158	-
DS571177	EHI_167100	EHI_167100A	mRNA	74845	75454	74883	74943	-
DS571256	EHI_048180	EHI_048180A	mRNA	17334	18254	17435	17488	-
DS571248	EHI_200700	EHI_200700A	mRNA	16008	16979	16094	16150	-
DS571248	EHI_200700	EHI_200700A	mRNA	16008	16979	16400	16441	-
DS571188	EHI_124470	EHI_124470A	mRNA	42238	44310	43582	43629	-
DS571172	EHI_013980	EHI_013980A	mRNA	27920	32216	31961	32015	+
DS572653	EHI_061340	EHI_061340A	mRNA	86	1005	797	984	+
DS571507	EHI_049030	EHI_049030A	mRNA	6902	7457	7066	7108	-
DS571498	EHI_115710	EHI_115710A	mRNA	1736	3006	2541	2596	-
DS571177	EHI_166880	EHI_166880A	mRNA	22906	23214	22914	22967	+
DS571145	EHI_151680	EHI_151680A	mRNA	119871	122033	119994	120041	-
DS571145	EHI_151680	EHI_151680A	mRNA	119871	122033	121813	121863	-
DS571394	EHI_075650	EHI_075650A	mRNA	10457	10878	10633	10688	-
DS571148	EHI_011850	EHI_011850A	mRNA	19124	20321	19944	20130	-
DS571332	EHI_200220	EHI_200220A	mRNA	28530	29099	28905	28961	+
DS571319	EHI_199640	EHI_199640A	mRNA	14686	16445	14853	14931	-
DS571319	EHI_199640	EHI_199640A	mRNA	14686	16445	15854	15981	-
DS571319	EHI_199640	EHI_199640A	mRNA	14686	16445	16235	16302	-
DS571213	EHI_062500	EHI_062500A	mRNA	13177	13594	13385	13442	-
DS571213	EHI_062500	EHI_062500A	mRNA	13177	13594	13530	13586	-
DS571298	EHI_145300	EHI_145300A	mRNA	6779	8642	6964	7019	+
DS571298	EHI_145300	EHI_145300A	mRNA	6779	8642	7123	7213	+
DS571298	EHI_145300	EHI_145300A	mRNA	6779	8642	7732	7795	+
DS571587	EHI_033880	EHI_033880A	mRNA	6175	6824	6373	6557	+
DS571373	EHI_181550	EHI_181550A	mRNA	13325	13661	13519	13576	-
DS571213	EHI_062660	EHI_062660A	mRNA	27394	29782	29571	29625	-
DS571338	EHI_114640	EHI_114640A	mRNA	3039	3929	3512	3736	-
DS571173	EHI_087430	EHI_087430A	mRNA	28858	29656	28949	29030	+
DS571154	EHI_178980	EHI_178980A	mRNA	120899	124390	121674	121785	-
DS571154	EHI_178980	EHI_178980A	mRNA	120899	124390	122283	122329	-
DS571154	EHI_178980	EHI_178980A	mRNA	120899	124390	122499	122618	-
DS571534	EHI_167450	EHI_167450A	mRNA	25	352	51	120	-
DS571190	EHI_038840	EHI_038840A	mRNA	33228	35905	33439	33491	+
DS571155	EHI_092460	EHI_092460A	mRNA	107255	107937	107500	107552	-
DS571298	EHI_145720	EHI_145720A	mRNA	34032	34665	34245	34290	+
DS571353	EHI_101250	EHI_101250A	mRNA	10049	11898	10460	10527	+
DS571248	EHI_200710	EHI_200710A	mRNA	17066	18864	18642	18697	-
DS571388	EHI_083570	EHI_083570A	mRNA	958	2015	1937	1992	-
DS571365	EHI_197790	EHI_197790A	mRNA	6694	7878	6820	6870	+
DS571161	EHI_141960	EHI_141960A	mRNA	72355	73807	73399	73450	-
DS571372	EHI_056110	EHI_056110A	mRNA	11496	12769	12003	12082	-
DS571233	EHI_025440	EHI_025440A	mRNA	38583	39395	38717	38785	+
DS571338	EHI_114660	EHI_114660A	mRNA	5062	5752	5532	5679	-
DS571156	EHI_182460	EHI_182460A	mRNA	3521	4713	4496	4690	-
DS571311	EHI_139470	EHI_139470A	mRNA	31452	33395	33278	33322	-
DS571400	EHI_091460	EHI_091460A	mRNA	3047	4412	4217	4280	-
DS571180	EHI_118450	EHI_118450A	mRNA	13941	14435	14097	14150	-
DS571330	EHI_023840	EHI_023840A	mRNA	24700	25039	24931	25003	-
DS571290	EHI_125330	EHI_125330A	mRNA	19035	19572	19064	19124	-
DS571431	EHI_179200	EHI_179200A	mRNA	372	1162	497	549	+
DS571273	EHI_111850	EHI_111850A	mRNA	37824	39442	38166	38212	+
DS571377	EHI_169590	EHI_169590A	mRNA	6022	6932	6804	6850	-
DS571298	EHI_145320	EHI_145320A	mRNA	9739	10334	9982	10118	-
DS571208	EHI_030760	EHI_030760A	mRNA	14269	14860	14794	14849	-
DS571270	EHI_128110	EHI_128110A	mRNA	21648	22415	21751	21801	+
DS571205	EHI_107200	EHI_107200A	mRNA	44240	45214	44525	44572	-
DS571247	EHI_016460	EHI_016460A	mRNA	32618	33257	32871	32970	+
DS571148	EHI_012360	EHI_012360A	mRNA	121860	122445	122332	122404	-
DS571165	EHI_198810	EHI_198810A	mRNA	46480	47419	46562	46634	+
DS571171	EHI_073510	EHI_073510A	mRNA	41165	41623	41183	41230	+
DS571171	EHI_073510	EHI_073510A	mRNA	41165	41623	41251	41391	+
DS571268	EHI_035120	EHI_035120A	mRNA	13471	15517	15317	15359	+
DS571145	EHI_151300	EHI_151300A	mRNA	33005	34200	34069	34112	-
DS571390	EHI_135760	EHI_135760A	mRNA	16030	16427	16247	16299	-
DS571528	EHI_029360	EHI_029360A	mRNA	6974	7577	7343	7403	-
DS571317	EHI_192130	EHI_192130A	mRNA	23754	24425	23801	23866	+
DS571232	EHI_074090	EHI_074090A	mRNA	32276	32861	32317	32389	+
DS571145	EHI_151780	EHI_151780A	mRNA	143062	144777	143083	143143	-
DS571145	EHI_151780	EHI_151780A	mRNA	143062	144777	143816	143859	-
DS571183	EHI_117800	EHI_117800A	mRNA	3359	4974	3545	3588	+
DS571242	EHI_110020	EHI_110020A	mRNA	47431	48059	47762	47820	+
DS571242	EHI_110020	EHI_110020A	mRNA	47431	48059	47943	47993	+
DS571145	EHI_153260	EHI_153260A	mRNA	415062	415928	415287	415341	-
DS571301	EHI_060390	EHI_060390A	mRNA	22961	25453	23162	23205	+
DS571301	EHI_060390	EHI_060390A	mRNA	22961	25453	25097	25179	+
DS571387	EHI_025840	EHI_025840A	mRNA	5067	5433	5252	5342	-
DS571178	EHI_007640	EHI_007640A	mRNA	15156	18773	15692	15736	+
DS571165	EHI_198730	EHI_198730A	mRNA	32484	34042	33322	33374	-
DS571156	EHI_183170	EHI_183170A	mRNA	116873	119800	116928	116987	+
DS571295	EHI_082550	EHI_082550A	mRNA	23422	24285	23462	23511	+
DS571295	EHI_082550	EHI_082550A	mRNA	23422	24285	23566	23608	+
DS571295	EHI_082550	EHI_082550A	mRNA	23422	24285	23979	24027	+
DS571146	EHI_148920	EHI_148920A	mRNA	184663	185800	185032	185119	+
DS571153	EHI_023180	EHI_023180A	mRNA	86825	87981	87373	87422	-
DS571153	EHI_023180	EHI_023180A	mRNA	86825	87981	87826	87957	-
DS571217	EHI_165200	EHI_165200A	mRNA	23702	24952	24222	24286	-
DS571217	EHI_165200	EHI_165200A	mRNA	23702	24952	24583	24643	-
DS571268	EHI_035170	EHI_035170A	mRNA	24280	24897	24525	24581	+
DS571152	EHI_049750	EHI_049750A	mRNA	107086	108775	107257	107311	+
DS571178	EHI_008100	EHI_008100A	mRNA	67511	68926	67961	68086	+
DS571161	EHI_142190	EHI_142190A	mRNA	110900	112688	111649	111664	-
DS571145	EHI_152560	EHI_152560A	mRNA	284512	285174	284674	284735	+
DS571547	EHI_176170	EHI_176170A	mRNA	6703	7680	7115	7183	+
DS571147	EHI_044760	EHI_044760A	mRNA	43290	45808	43318	43398	+
DS571147	EHI_044760	EHI_044760A	mRNA	43290	45808	44016	44389	+
DS571172	EHI_014230	EHI_014230A	mRNA	79130	80006	79373	79455	-
DS571172	EHI_014230	EHI_014230A	mRNA	79130	80006	79798	79964	-
DS571386	EHI_097650	EHI_097650A	mRNA	16335	16996	16680	16744	+
DS571221	EHI_180300	EHI_180300A	mRNA	16652	17934	17576	17634	-
DS571287	EHI_137110	EHI_137110A	mRNA	30979	31847	31152	31198	-
DS571410	EHI_022300	EHI_022300A	mRNA	12494	13404	13175	13233	+
DS571327	EHI_035940	EHI_035940A	mRNA	13768	15473	13802	13881	+
DS571147	EHI_045460	EHI_045460A	mRNA	154077	154460	154195	154242	-
DS571272	EHI_178110	EHI_178110A	mRNA	39637	42847	42496	42550	+
DS571200	EHI_010060	EHI_010060A	mRNA	51551	52012	51871	51921	-
DS571368	EHI_114410	EHI_114410A	mRNA	18831	19296	18970	19021	+
DS571408	EHI_189160	EHI_189160A	mRNA	12104	13441	12551	12598	-
DS571969	EHI_172850	EHI_172850A	mRNA	323	993	433	479	+
DS571187	EHI_137930	EHI_137930A	mRNA	60981	61573	61207	61274	-
DS571257	EHI_156440	EHI_156440A	mRNA	43482	44365	44188	44231	+
DS571195	EHI_004780	EHI_004780A	mRNA	14371	16253	14688	14743	+
DS571408	EHI_189090	EHI_189090A	mRNA	877	1943	1224	1264	-
DS571218	EHI_150510	EHI_150510A	mRNA	56292	56889	56448	56493	+
DS571156	EHI_183290	EHI_183290A	mRNA	148081	148828	148162	148208	+
DS571156	EHI_183290	EHI_183290A	mRNA	148081	148828	148341	148384	+
DS571275	EHI_081350	EHI_081350A	mRNA	22149	23887	22384	22427	-
DS571162	EHI_155390	EHI_155390A	mRNA	42124	43060	42252	42303	+
DS571162	EHI_155390	EHI_155390A	mRNA	42124	43060	42416	42469	+
DS571146	EHI_148980	EHI_148980A	mRNA	197842	199560	198853	198912	-
DS571187	EHI_137970	EHI_137970A	mRNA	71754	72551	72257	72306	-
DS571190	EHI_038890	EHI_038890A	mRNA	40619	44683	40795	40849	+
DS571190	EHI_038890	EHI_038890A	mRNA	40619	44683	41524	41582	+
DS571188	EHI_124390	EHI_124390A	mRNA	24505	32120	24652	24724	+
DS571188	EHI_124390	EHI_124390A	mRNA	24505	32120	24926	24986	+
DS571148	EHI_011970	EHI_011970A	mRNA	40751	42295	40883	40928	+
DS571148	EHI_011970	EHI_011970A	mRNA	40751	42295	41963	42012	+
DS571180	EHI_118390	EHI_118390A	mRNA	1539	2267	2102	2155	-
DS571307	EHI_088040	EHI_088040A	mRNA	9252	9929	9442	9488	+
DS571307	EHI_088040	EHI_088040A	mRNA	9252	9929	9605	9650	+
DS571146	EHI_148650	EHI_148650A	mRNA	124373	125555	125008	125053	-
DS571145	EHI_153290	EHI_153290A	mRNA	420839	422215	420868	420912	+
DS571397	EHI_003900	EHI_003900A	mRNA	8850	10272	9766	9867	-
DS571397	EHI_003900	EHI_003900A	mRNA	8850	10272	9952	10059	-
DS571514	EHI_085480	EHI_085480A	mRNA	1470	2718	1873	1921	-
DS571430	EHI_129330	EHI_129330A	mRNA	10933	11604	11298	11357	-
DS571191	EHI_194260	EHI_194260A	mRNA	19455	20546	19737	19781	+
DS571161	EHI_142130	EHI_142130A	mRNA	99589	100494	100108	100197	+
DS571400	EHI_091560	EHI_091560A	mRNA	17643	18802	18156	18205	+
DS571439	EHI_088470	EHI_088470A	mRNA	13100	13630	13491	13538	-
DS571425	EHI_108460	EHI_108460A	mRNA	11199	12280	11346	11413	-
DS571145	EHI_151630	EHI_151630A	mRNA	107563	107898	107720	107770	+
DS571315	EHI_189870	EHI_189870A	mRNA	8752	11573	10350	10427	-
DS571315	EHI_189870	EHI_189870A	mRNA	8752	11573	11215	11261	-
DS571145	EHI_152800	EHI_152800A	mRNA	327857	328159	328049	328099	-
DS571174	EHI_035520	EHI_035520A	mRNA	33602	35338	34048	34095	-
DS571507	EHI_049010	EHI_049010A	mRNA	5069	5921	5703	5748	+
DS571380	EHI_080280	EHI_080280A	mRNA	21607	22148	21922	21983	-
DS571146	EHI_148350	EHI_148350A	mRNA	62860	63290	63029	63072	-
DS571417	EHI_071350	EHI_071350A	mRNA	15535	16171	15721	15775	+
DS571235	EHI_086200	EHI_086200A	mRNA	43743	44131	43902	43960	-
DS571466	EHI_080900	EHI_080900A	mRNA	12229	13692	12526	12576	-
DS571466	EHI_080900	EHI_080900A	mRNA	12229	13692	13007	13069	-
DS571313	EHI_056420	EHI_056420A	mRNA	12524	13685	13398	13551	-
DS571242	EHI_110010	EHI_110010A	mRNA	45500	47293	45665	45802	+
DS571242	EHI_110010	EHI_110010A	mRNA	45500	47293	46030	46077	+
DS571206	EHI_188070	EHI_188070A	mRNA	19713	20109	19946	19991	-
DS571150	EHI_068040	EHI_068040A	mRNA	52975	53915	53210	53259	-
DS571145	EHI_153710	EHI_153710A	mRNA	489897	490577	490123	490185	-
DS572047	EHI_009130	EHI_009130A	mRNA	243	1923	267	366	-
DS571367	EHI_090380	EHI_090380A	mRNA	5750	6247	6048	6116	+
DS571184	EHI_009250	EHI_009250A	mRNA	4948	6323	5210	5287	-
DS571184	EHI_009250	EHI_009250A	mRNA	4948	6323	6082	6134	-
DS571161	EHI_141550	EHI_141550A	mRNA	28119	28555	28126	28170	-
DS571161	EHI_141550	EHI_141550A	mRNA	28119	28555	28327	28382	-
DS571145	EHI_151500	EHI_151500A	mRNA	73892	76708	76637	76684	+
DS571182	EHI_010255	EHI_010255A	mRNA	2227	2967	2883	2957	-
DS571331	EHI_170440	EHI_170440A	mRNA	18656	19501	19148	19201	+
DS571145	EHI_151670	EHI_151670A	mRNA	113382	119174	113502	113552	+
DS571145	EHI_151670	EHI_151670A	mRNA	113382	119174	113980	114039	+
DS571528	EHI_029220	EHI_029220A	mRNA	1980	2891	2545	2610	+
DS571528	EHI_029220	EHI_029220A	mRNA	1980	2891	2786	2830	+
DS571175	EHI_177180	EHI_177180A	mRNA	24886	25891	25407	25503	-
DS571146	EHI_148220	EHI_148220A	mRNA	35836	37174	36655	36803	-
DS571146	EHI_148220	EHI_148220A	mRNA	35836	37174	36888	36964	-
DS571192	EHI_065500	EHI_065500A	mRNA	8556	10618	10488	10534	-
DS571162	EHI_155770	EHI_155770A	mRNA	124911	127080	126946	126994	-
DS571378	EHI_113900	EHI_113900A	mRNA	3815	4248	4046	4128	+
DS571317	EHI_192030	EHI_192030A	mRNA	7547	7885	7760	7843	+
DS571170	EHI_130940	EHI_130940A	mRNA	43056	44131	43799	43845	-
DS571425	EHI_108230	EHI_108230A	mRNA	200	890	717	789	-
DS571183	EHI_117930	EHI_117930A	mRNA	24419	24980	24800	24854	-
DS572134	EHI_168450	EHI_168450A	mRNA	96	902	282	343	+
DS572134	EHI_168450	EHI_168450A	mRNA	96	902	431	491	+
DS571221	EHI_180310	EHI_180310A	mRNA	20301	22337	20622	20687	-
DS571227	EHI_005870	EHI_005870A	mRNA	7644	8628	7814	7895	+
DS571330	EHI_023610	EHI_023610A	mRNA	10796	13907	10924	10976	-
DS571330	EHI_023610	EHI_023610A	mRNA	10796	13907	13618	13664	-
DS571450	EHI_069980	EHI_069980A	mRNA	8466	10430	10119	10163	-
DS571161	EHI_142210	EHI_142210A	mRNA	114136	114900	114397	114508	-
DS571263	EHI_168280	EHI_168280A	mRNA	20879	21488	21420	21464	-
DS571168	EHI_013230	EHI_013230A	mRNA	93778	95045	93881	93936	+
DS571227	EHI_006020	EHI_006020A	mRNA	30556	31607	31324	31493	+
DS571309	EHI_054120	EHI_054120A	mRNA	7504	8984	8789	8838	-
DS571182	EHI_010630	EHI_010630A	mRNA	58563	60447	60099	60151	-
DS571182	EHI_010630	EHI_010630A	mRNA	58563	60447	60318	60382	-
DS571193	EHI_134480	EHI_134480A	mRNA	23066	23886	23313	23359	-
DS571193	EHI_134480	EHI_134480A	mRNA	23066	23886	23741	23788	-
DS571343	EHI_167620	EHI_167620A	mRNA	36	812	42	89	+
DS571217	EHI_165270	EHI_165270A	mRNA	40941	42357	41631	41769	+
DS571237	EHI_175250	EHI_175250A	mRNA	12696	14217	12955	13006	+
DS572647	EHI_065120	EHI_065120A	mRNA	1	1012	48	139	-
DS572647	EHI_065120	EHI_065120A	mRNA	1	1012	330	401	-
DS571157	EHI_197280	EHI_197280A	mRNA	91597	93215	93030	93091	-
DS571373	EHI_181530	EHI_181530A	mRNA	7526	10062	7794	7836	-
DS571373	EHI_181530	EHI_181530A	mRNA	7526	10062	7997	8069	-
DS571145	EHI_153190	EHI_153190A	mRNA	404591	405451	404666	404712	+
DS571145	EHI_153190	EHI_153190A	mRNA	404591	405451	404808	404865	+
DS571248	EHI_200560	EHI_200560A	mRNA	3593	9887	3956	4115	-
DS571398	EHI_146360	EHI_146360A	mRNA	15539	16377	16081	16139	-
DS571219	EHI_169090	EHI_169090A	mRNA	25432	26096	25951	25994	-
DS571191	EHI_194380	EHI_194380A	mRNA	38838	39413	39132	39179	+
DS571233	EHI_025400	EHI_025400A	mRNA	32887	33699	33475	33528	-
DS571160	EHI_125610	EHI_125610A	mRNA	8887	10526	9876	9937	+
DS571175	EHI_177490	EHI_177490A	mRNA	67060	68098	67405	67564	-
DS571253	EHI_030090	EHI_030090A	mRNA	5106	5717	5325	5399	-
DS571237	EHI_175500	EHI_175500A	mRNA	51987	53662	53195	53244	+
DS571641	EHI_053820	EHI_053820A	mRNA	27	618	129	177	+
DS571267	EHI_119320	EHI_119320A	mRNA	37376	38767	37517	37561	+
DS571373	EHI_181520	EHI_181520A	mRNA	6649	7326	6969	7013	-
DS571175	EHI_176980	EHI_176980A	mRNA	4815	6142	5944	5999	-
DS571162	EHI_155740	EHI_155740A	mRNA	118521	120257	118725	118808	+
DS571162	EHI_155740	EHI_155740A	mRNA	118521	120257	119414	119470	+
DS571385	EHI_121520	EHI_121520A	mRNA	23092	24124	23219	23264	+
DS571169	EHI_098410	EHI_098410A	mRNA	64376	67617	64403	64446	+
DS571161	EHI_141820	EHI_141820A	mRNA	37669	43545	38192	38290	+
DS571295	EHI_082580	EHI_082580A	mRNA	28270	29445	28579	28632	-
DS571276	EHI_121850	EHI_121850A	mRNA	30970	32688	32395	32469	-
DS571169	EHI_098590	EHI_098590A	mRNA	106178	106951	106607	106675	-
DS571178	EHI_008040	EHI_008040A	mRNA	55906	56583	56020	56064	-
DS571167	EHI_159660	EHI_159660A	mRNA	56317	56669	56457	56503	+
DS571421	EHI_128490	EHI_128490A	mRNA	19636	20039	19890	20008	+
DS571254	EHI_140330	EHI_140330A	mRNA	37175	39492	37666	37712	+
DS571270	EHI_127850	EHI_127850A	mRNA	12195	13264	12708	12762	+
DS571270	EHI_127850	EHI_127850A	mRNA	12195	13264	12946	13138	+
DS571287	EHI_137230	EHI_137230A	mRNA	35984	36626	36296	36500	+
DS571501	EHI_172000	EHI_172000A	mRNA	4676	8037	5485	5624	+
DS571190	EHI_038590	EHI_038590A	mRNA	8887	9543	9025	9080	-
DS571534	EHI_167500	EHI_167500A	mRNA	6280	8124	7492	7568	-
DS571534	EHI_167500	EHI_167500A	mRNA	6280	8124	7915	7969	-
DS571219	EHI_169370	EHI_169370A	mRNA	60074	61065	60451	60512	+
DS571299	EHI_099850	EHI_099850A	mRNA	33725	34754	33822	33873	-
DS571213	EHI_062830	EHI_062830A	mRNA	56237	58507	56619	56915	+
DS571175	EHI_177330	EHI_177330A	mRNA	40589	42349	41874	41929	-
DS571175	EHI_177330	EHI_177330A	mRNA	40589	42349	42062	42143	-
DS571175	EHI_177330	EHI_177330A	mRNA	40589	42349	42209	42259	-
DS571174	EHI_035460	EHI_035460A	mRNA	21238	21777	21249	21314	+
DS571311	EHI_139370	EHI_139370A	mRNA	13474	14122	13810	13876	+
DS571506	EHI_001290	EHI_001290A	mRNA	2089	3208	2381	2531	-
DS571392	EHI_124830	EHI_124830A	mRNA	2958	3917	3121	3183	+
DS571148	EHI_012150	EHI_012150A	mRNA	66522	67420	67076	67146	-
DS571150	EHI_067900	EHI_067900A	mRNA	20232	21163	20635	20681	+
DS571145	EHI_151530	EHI_151530A	mRNA	82012	84506	84037	84077	+
DS571159	EHI_187260	EHI_187260A	mRNA	129045	129626	129345	129395	+
DS571154	EHI_178680	EHI_178680A	mRNA	61736	62398	62054	62107	-
DS571147	EHI_045010	EHI_045010A	mRNA	80110	80772	80458	80504	-
DS571147	EHI_045010	EHI_045010A	mRNA	80110	80772	80590	80638	-
DS571297	EHI_142720	EHI_142720A	mRNA	9820	10870	10451	10520	+
DS571179	EHI_094030	EHI_094030A	mRNA	74168	74963	74228	74276	-
DS571230	EHI_188840	EHI_188840A	mRNA	24331	25570	24475	24535	-
DS571146	EHI_149010	EHI_149010A	mRNA	202850	203577	202997	203043	+
DS571235	EHI_086210	EHI_086210A	mRNA	44216	45457	44434	44493	-
DS571302	EHI_065240	EHI_065240A	mRNA	4342	10170	4859	4936	+
DS571147	EHI_044940	EHI_044940A	mRNA	67609	69191	68533	68612	+
DS571323	EHI_007300	EHI_007300A	mRNA	13832	14795	14316	14451	-
DS571405	EHI_011510	EHI_011510A	mRNA	437	1768	1643	1699	-
DS571178	EHI_008130	EHI_008130A	mRNA	73874	74431	74264	74317	+
DS571210	EHI_001050	EHI_001050A	mRNA	37618	38549	38294	38340	-
DS571210	EHI_001050	EHI_001050A	mRNA	37618	38549	38457	38512	-
DS571203	EHI_134970	EHI_134970A	mRNA	7838	8775	8550	8602	-
DS571164	EHI_069490	EHI_069490A	mRNA	103785	104367	103788	103902	+
DS571149	EHI_050770	EHI_050770A	mRNA	107789	109189	107974	108048	-
DS571154	EHI_178630	EHI_178630A	mRNA	56176	57182	56222	56273	+
DS571154	EHI_178630	EHI_178630A	mRNA	56176	57182	56333	56385	+
DS571154	EHI_178630	EHI_178630A	mRNA	56176	57182	56844	56896	+
DS571422	EHI_135440	EHI_135440A	mRNA	5828	6235	5963	6007	-
DS571266	EHI_028910	EHI_028910A	mRNA	7590	8480	8292	8399	-
DS571273	EHI_111800	EHI_111800A	mRNA	29382	30348	30177	30222	-
DS571174	EHI_035810	EHI_035810A	mRNA	93648	95042	93951	94061	+
DS571356	EHI_185440	EHI_185440A	mRNA	8686	9263	9076	9164	-
DS571207	EHI_169890	EHI_169890A	mRNA	23343	23893	23493	23542	+
DS571202	EHI_015250	EHI_015250A	mRNA	20856	23079	20909	20963	+
DS571196	EHI_064310	EHI_064310A	mRNA	6494	7369	7169	7217	+
DS571170	EHI_131220	EHI_131220A	mRNA	93468	93971	93758	93808	-
DS571173	EHI_087380	EHI_087380A	mRNA	16418	16920	16709	16764	+
DS571335	EHI_091050	EHI_091050A	mRNA	13730	14857	13958	14008	+
DS571223	EHI_158190	EHI_158190A	mRNA	36672	37361	37149	37196	+
DS571427	EHI_036880	EHI_036880A	mRNA	8507	9470	9411	9459	-
DS571328	EHI_158590	EHI_158590A	mRNA	17144	19228	19037	19093	-
DS571676	EHI_182050	EHI_182050A	mRNA	4549	5811	4975	5054	+
DS571676	EHI_182050	EHI_182050A	mRNA	4549	5811	5525	5580	+
DS571676	EHI_182050	EHI_182050A	mRNA	4549	5811	5642	5694	+
DS571152	EHI_049840	EHI_049840A	mRNA	129245	129832	129381	129437	-
DS571153	EHI_022930	EHI_022930A	mRNA	33082	33773	33620	33686	-
DS571229	EHI_077230	EHI_077230A	mRNA	32201	33273	33037	33095	+
DS571227	EHI_005980	EHI_005980A	mRNA	26012	27331	26191	26232	+
DS571195	EHI_004990	EHI_004990A	mRNA	47250	50025	49258	49432	+
DS571157	EHI_197040	EHI_197040A	mRNA	42313	45019	42546	42603	-
DS571153	EHI_022910	EHI_022910A	mRNA	31589	32332	31901	31957	-
DS571372	EHI_056100	EHI_056100A	mRNA	3775	4474	4158	4215	-
DS571158	EHI_103370	EHI_103370A	mRNA	34478	34990	34518	34590	-
DS571158	EHI_103370	EHI_103370A	mRNA	34478	34990	34752	34795	-
DS571245	EHI_052840	EHI_052840A	mRNA	31128	32402	31781	31833	-
DS571245	EHI_052840	EHI_052840A	mRNA	31128	32402	31932	31981	-
DS571245	EHI_052840	EHI_052840A	mRNA	31128	32402	32074	32120	-
DS571186	EHI_000270	EHI_000270A	mRNA	6345	7428	6409	6463	+
DS571188	EHI_124310	EHI_124310A	mRNA	14050	15998	15264	15310	+
DS571188	EHI_124310	EHI_124310A	mRNA	14050	15998	15689	15751	+
DS571225	EHI_054670	EHI_054670A	mRNA	16472	17077	16598	16642	-
DS571156	EHI_182880	EHI_182880A	mRNA	62872	64029	63068	63133	+
DS571170	EHI_131160	EHI_131160A	mRNA	86308	87420	87059	87115	+
DS571444	EHI_166050	EHI_166050A	mRNA	11713	13273	12356	12566	+
DS571224	EHI_040350	EHI_040350A	mRNA	23693	33736	33384	33433	-
DS571224	EHI_040350	EHI_040350A	mRNA	23693	33736	33583	33643	-
DS571192	EHI_065490	EHI_065490A	mRNA	7187	8406	8294	8376	-
DS571250	EHI_195040	EHI_195040A	mRNA	28160	29188	28666	28917	+
DS571771	EHI_183780	EHI_183780A	mRNA	3118	4219	4093	4174	+
DS571165	EHI_199065	EHI_199065A	mRNA	104448	106680	104514	104562	+
